material,k
Potassium,1
"Potato, raw flesh",0.55
Propane (gas),0.015
Polytetrafluoroethylene (PTFE),0.25
"Polyvinylchloride, PVC",0.19
Pyrex glass,1.005
Quartz mineral,3
Radon (gas),0.0033
Red metal,128
Rhenium,71
Rhodium,88
"Rock, solid",7-Feb
Rock Wool insulation,0.045
Rosin,0.32
"Rubber, cellular",0.045
"Rubber, natural",0.13
Rubidium,58
Salmon,0.5
"Sand, dry",0.2
"Sand, moist",0.25
Sandstone,1.7
Sawdust,0.08
Selenium,0.2
Sheep wool,0.039
Silica aerogel,0.02
Silicon cast resin,0.25
Silicon carbide,120
Silicon oil,0.1
Silver,429
Slag wool,0.042
Slate,2.01
Snow,0.1
Sodium,135
"Softwoods (fir, pine ..)",0.12
"Soil, clay",1.1
"Soil, with organic matter",0.17
Soot,0.07
"Steam, saturated",0.0184
"Steam, low pressure",0.0188
Steatite,2
"Steel, Carbon 1%",43
Stainless Steel,16
"Straw slab insulation, compressed",0.09
Styrofoam,0.033
Sulfur dioxide (gas),0.0086
"Sulfur, crystal",0.2
Sugars,0.15
Tantalum,54
Tar,0.19
Tellurium,4.9
Thorium,38
"Timber, alder",0.17
"Timber, ash",0.16
"Timber, birch",0.14
"Timber, larch",0.12
"Timber, maple",0.16
"Timber, oak",0.17
"Timber, pitchpine",0.14
"Timber, pockwood",0.19
"Timber, red beech",0.14
"Timber, red pine",0.15
"Timber, white pine",0.15
"Timber, walnut",0.15
Tin Sn,67
Titanium,22
Tungsten,174
Uranium,27.6
Urethane foam,0.021
Vacuum,0
Vermiculite granules,0.065
Vinyl ester,0.25
Water,0.606
"Water, vapor (steam)",
Wax,0.084
Wheat flour,0.45
White metal,48
"Wood across the grain, white pine",0.12
"Wood across the grain, balsa",0.055
"Wood across the grain, yellow pine, timber",0.147
"Wood, oak",0.17
"Wool, felt",0.07
"Wood wool, slab",0.125
Xenon (gas),0.0051
Zinc Zn,116
,
